2018-02-06 17:38:40.2337 |  Info | Program | Grand Theft Multiplayer Server v0.1.640.64 
2018-02-06 18:36:41.0072 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:38:41.0199 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:40:41.0325 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:42:41.0452 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:44:41.0579 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:46:41.0705 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:48:41.0832 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:50:41.0958 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:52:41.1085 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:54:41.1212 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:56:41.1338 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:58:41.1465 | Debug | GameServer | Announcing self to master server... 
2018-02-06 18:59:58.8891 |  Info | GameServer | Initiating connection: [46.5.19.4:17510] 
2018-02-06 18:59:58.9516 |  Info | GameServer | Processing connection: JasperRemy (Max) [46.5.19.4] 
2018-02-06 18:59:59.0610 |  Info | GameServer | Connection established: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:00:16.2503 |  Info | ServerAPI | attempted to load null iventory item 
2018-02-06 19:00:16.2503 |  Info | ServerAPI | attempted to load null iventory item 
2018-02-06 19:00:41.1592 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:01:26.5702 |  Info | GameServer | Player disconnected: JasperRemy (Max) [46.5.19.4], reason: Quit 
2018-02-06 19:02:41.1718 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:04:41.1845 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:06:41.1971 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:08:41.2098 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:10:41.2225 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:12:41.2351 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:14:41.2478 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:16:41.2604 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:18:41.2731 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:20:41.2858 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:22:41.2984 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:24:15.1052 |  Info | GameServer | Initiating connection: [46.5.19.4:17510] 
2018-02-06 19:24:15.1677 |  Info | GameServer | Processing connection: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:24:15.2146 |  Info | GameServer | Connection established: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:24:41.3111 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:25:01.1569 |  Info | GameServer | Starting lsrp 
2018-02-06 19:25:01.1569 |  Info | GameServer | Stopping LSRP 
2018-02-06 19:25:05.8762 |  Info | GameServer | Stopped LSRP. 
2018-02-06 19:25:06.3137 |  Info | ServerAPI | Database initialized! 
2018-02-06 19:25:06.3137 |  Info | ServerAPI | [WHITELIST] Whitelist is aus 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loading homes... 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:1 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:2 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:3 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:4 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:5 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:6 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:7 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:8 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:9 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:10 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:11 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:12 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:13 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:14 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:15 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:16 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:17 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:18 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:19 
2018-02-06 19:25:06.3293 |  Info | ServerAPI | Loaded Home ID:20 
2018-02-06 19:25:06.3450 |  Info | GameServer | Resource lsrp started. 
2018-02-06 19:25:06.3606 |  Info | GameServer | Player disconnected: JasperRemy (Max) [46.5.19.4], reason: You have been kicked. 
2018-02-06 19:25:06.3606 |  Info | Property | Loading oldskool properties... 
2018-02-06 19:25:06.3606 |  Info | Items | Items Lod 
2018-02-06 19:25:06.3762 |  Info | Items | Klamottenladen Lod 
2018-02-06 19:25:06.3762 |  Info | VehicleSpawner | load Owned Vehicles 
2018-02-06 19:25:06.5325 |  Info | Property | Loading oldskool properties... 
2018-02-06 19:25:06.5325 | Error | ScriptingEngine | EXCEPTION IN RESOURCE lsrp INSIDE SCRIPTENGINE Property Microsoft.CSharp.RuntimeBinder.RuntimeBinderException: System.Dynamic.ExpandoObject enthält keine Definition für doormanager.
   bei CallSite.Target(Closure , CallSite , Object )
   bei System.Dynamic.UpdateDelegates.UpdateAndExecute1[T0,TRet](CallSite site, T0 arg0)
   bei IcaroRPG.Property.Newskool..ctor(Boolean locked, Boolean forsale, Int32 hid, Int32 price, Vector3 ev, Int32 doormodel)
   bei IcaroRPG.Property.OnStart()
   bei GrandTheftMultiplayer.Server.Models.ScriptingEngine.<InvokeResourceStart>b__26_0()
   bei GrandTheftMultiplayer.Server.Models.ScriptingEngine.<>c__DisplayClass19_0.<MainThreadLoop>b__0(Object <p0>)
2018-02-06 19:25:07.7826 |  Info | GameServer | Initiating connection: [46.5.19.4:17510] 
2018-02-06 19:25:07.8452 |  Info | GameServer | Processing connection: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:25:07.8920 |  Info | GameServer | Connection established: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:25:17.6587 |  Info | GameServer | Player disconnected: JasperRemy (Max) [46.5.19.4], reason: You have been kicked. 
2018-02-06 19:25:23.3780 |  Info | GameServer | Initiating connection: [46.5.19.4:17510] 
2018-02-06 19:25:23.4405 |  Info | GameServer | Processing connection: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:25:23.4874 |  Info | GameServer | Connection established: JasperRemy (Max) [46.5.19.4] 
2018-02-06 19:25:33.2384 |  Info | ServerAPI | attempted to load null iventory item 
2018-02-06 19:25:49.7246 |  Info | GameServer | Initiating connection: [176.198.246.88:52411] 
2018-02-06 19:25:49.7871 |  Info | GameServer | Processing connection: ollii12387 (Kevin_Kings) [176.198.246.88] 
2018-02-06 19:25:59.1943 |  Info | GameServer | Connection established: ollii12387 (Kevin_Kings) [176.198.246.88] 
2018-02-06 19:26:00.8664 |  Info | GameServer | Starting eac 
2018-02-06 19:26:00.8664 |  Info | GameServer | Resource eac started. 
2018-02-06 19:26:41.3238 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:27:18.3589 |  Info | GameServer | Player disconnected: JasperRemy (Max) [46.5.19.4], reason: Quit 
2018-02-06 19:27:50.6123 |  Info | GameServer | Player disconnected: ollii12387 (Kevin_Kings) [176.198.246.88], reason: Quit 
2018-02-06 19:28:41.3364 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:30:41.3491 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:32:41.3617 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:34:41.3744 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:36:41.3871 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:38:41.3997 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:40:41.4124 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:42:41.4251 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:44:41.4377 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:46:41.4504 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:48:41.4630 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:50:41.4757 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:52:41.4884 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:54:41.5010 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:56:41.5137 | Debug | GameServer | Announcing self to master server... 
2018-02-06 19:58:41.5264 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:00:41.5390 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:02:41.5517 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:04:41.5643 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:06:41.5770 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:08:41.5897 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:10:41.6023 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:12:41.6150 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:14:41.6276 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:16:41.6403 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:18:41.6530 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:20:41.6656 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:22:41.6783 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:24:41.6910 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:26:41.7036 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:28:41.7163 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:30:41.7289 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:32:41.7416 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:34:41.7543 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:36:41.7669 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:38:41.7796 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:40:41.7923 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:42:41.8049 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:44:41.8176 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:46:41.8302 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:48:41.8429 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:50:41.8556 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:52:41.8682 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:54:41.8809 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:56:41.8935 | Debug | GameServer | Announcing self to master server... 
2018-02-06 20:58:41.9062 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:00:41.9189 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:02:41.9315 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:04:41.9442 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:06:41.9569 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:08:41.9695 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:10:41.9822 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:12:41.9948 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:14:42.0075 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:16:42.0202 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:18:42.0328 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:20:42.0455 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:22:42.0582 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:24:42.0708 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:26:42.0835 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:28:42.0961 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:30:42.1088 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:32:42.1215 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:34:42.1341 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:36:42.1468 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:38:42.1595 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:40:42.1721 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:42:42.1848 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:44:42.1974 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:46:42.2101 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:48:42.2228 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:50:42.2354 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:52:42.2481 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:54:42.2607 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:56:42.2734 | Debug | GameServer | Announcing self to master server... 
2018-02-06 21:58:42.2861 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:00:42.2987 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:02:42.3114 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:04:42.3241 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:06:42.3367 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:08:42.3494 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:10:42.3620 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:12:42.3747 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:14:42.3874 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:16:42.4000 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:18:42.4127 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:20:42.4254 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:22:42.4380 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:24:42.4507 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:26:42.4633 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:28:42.4760 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:30:42.4887 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:32:42.5013 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:34:42.5140 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:36:42.5267 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:38:42.5393 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:40:42.5520 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:42:42.5646 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:44:42.5773 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:46:42.5900 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:48:42.6026 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:50:42.6153 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:52:42.6279 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:54:42.6406 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:56:42.6533 | Debug | GameServer | Announcing self to master server... 
2018-02-06 22:58:42.6659 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:00:42.6786 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:02:42.6913 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:04:42.7039 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:06:42.7166 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:08:42.7292 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:10:42.7419 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:12:42.7546 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:14:42.7672 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:14:52.7839 | Debug | GameServer | Downloading latest Assembly String failed System.Net.WebException: Timeout für Vorgang überschritten
   bei System.Net.WebClient.DownloadDataInternal(Uri address, WebRequest& request)
   bei System.Net.WebClient.DownloadString(Uri address)
   bei GrandTheftMultiplayer.Server.GameServer.<UpdateLatestAssemblyString>b__63_0(Object <p0>)
2018-02-06 23:16:42.7799 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:18:42.7926 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:20:42.8052 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:22:42.8179 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:24:42.8305 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:26:42.8432 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:28:42.8559 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:30:42.8685 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:32:42.8812 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:34:42.8938 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:36:42.9065 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:38:42.9192 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:40:42.9318 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:42:42.9445 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:44:42.9572 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:46:42.9698 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:48:42.9825 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:50:42.9951 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:52:43.0078 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:54:43.0205 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:56:43.0331 | Debug | GameServer | Announcing self to master server... 
2018-02-06 23:58:43.0458 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:00:43.0585 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:02:43.0711 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:04:43.0838 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:06:43.0964 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:06:53.1131 | Debug | GameServer | Downloading latest Assembly String failed System.Net.WebException: Timeout für Vorgang überschritten
   bei System.Net.WebClient.DownloadDataInternal(Uri address, WebRequest& request)
   bei System.Net.WebClient.DownloadString(Uri address)
   bei GrandTheftMultiplayer.Server.GameServer.<UpdateLatestAssemblyString>b__63_0(Object <p0>)
2018-02-07 00:08:43.1091 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:10:43.1218 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:12:43.1344 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:14:43.1471 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:16:43.1598 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:18:43.1724 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:20:43.1851 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:22:43.1977 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:24:43.2104 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:26:43.2231 | Debug | GameServer | Announcing self to master server... 
2018-02-07 00:28:43.2357 | Debug | GameServer | Announcing self to master server... 
